Team ID,Member 1 Full Name,Member 1 USQ email,Member 1 consent,Member 2 Full Name,Member 2 USQ email,Member 2 consent,Member 3 Full Name,Member 3 USQ email,Member 3 consent
0,Example Student Alpha,u0000001@umail.usq.edu.au,YES,Example Student Beta,u0000002@umail.usq.edu.au,YES,Example Student Gamma,u0000003@umail.usq.edu.au,YES
1,Sample Student 001,u0001001@umail.usq.edu.au,YES,Sample Student 002,u0001002@umail.usq.edu.au,YES,Sample Student 003,u0001003@umail.usq.edu.au,YES
2,Sample Student 004,u0001004@umail.usq.edu.au,YES,Sample Student 005,u0001005@umail.usq.edu.au,YES,Sample Student 006,u0001006@umail.usq.edu.au,YES
3,Sample Student 007,u0001007@umail.usq.edu.au,YES,Sample Student 008,u0001008@umail.usq.edu.au,YES,Sample Student 009,u0001009@umail.usq.edu.au,YES
4,Sample Student 010,u0001010@umail.usq.edu.au,YES,Sample Student 011,u0001011@umail.usq.edu.au,YES,Sample Student 012,u0001012@umail.usq.edu.au,YES
5,Sample Student 013,u0001013@umail.usq.edu.au,YES,Sample Student 014,u0001014@umail.usq.edu.au,YES,Sample Student 015,u0001015@umail.usq.edu.au,YES
6,Sample Student 016,u0001016@umail.usq.edu.au,YES,Sample Student 017,u0001017@umail.usq.edu.au,YES,Sample Student 018,u0001018@umail.usq.edu.au,YES
7,Sample Student 019,u0001019@umail.usq.edu.au,YES,Sample Student 020,u0001020@umail.usq.edu.au,YES,Sample Student 021,u0001021@umail.usq.edu.au,YES
8,Sample Student 022,u0001022@umail.usq.edu.au,YES,Sample Student 023,u0001023@umail.usq.edu.au,YES,Sample Student 024,u0001024@umail.usq.edu.au,YES
9,Sample Student 025,u0001025@umail.usq.edu.au,YES,Sample Student 026,u0001026@umail.usq.edu.au,YES,Sample Student 027,u0001027@umail.usq.edu.au,YES
10,Sample Student 028,u0001028@umail.usq.edu.au,YES,Sample Student 029,u0001029@umail.usq.edu.au,YES,Sample Student 030,u0001030@umail.usq.edu.au,YES
11,Sample Student 031,u0001031@umail.usq.edu.au,YES,Sample Student 032,u0001032@umail.usq.edu.au,YES,Sample Student 033,u0001033@umail.usq.edu.au,YES
12,Sample Student 034,u0001034@umail.usq.edu.au,YES,Sample Student 035,u0001035@umail.usq.edu.au,YES,Sample Student 036,u0001036@umail.usq.edu.au,YES
13,Sample Student 037,u0001037@umail.usq.edu.au,YES,Sample Student 038,u0001038@umail.usq.edu.au,YES,Sample Student 039,u0001039@umail.usq.edu.au,YES
14,Sample Student 040,u0001040@umail.usq.edu.au,YES,Sample Student 041,u0001041@umail.usq.edu.au,YES,Sample Student 042,u0001042@umail.usq.edu.au,YES
15,Sample Student 043,u0001043@umail.usq.edu.au,YES,Sample Student 044,u0001044@umail.usq.edu.au,YES,Sample Student 045,u0001045@umail.usq.edu.au,YES
17,Sample Student 046,u0001046@umail.usq.edu.au,YES,Sample Student 047,u0001047@umail.usq.edu.au,YES,Sample Student 048,u0001048@umail.usq.edu.au,YES
18,Sample Student 049,u0001049@umail.usq.edu.au,YES,Sample Student 050,u0001050@umail.usq.edu.au,YES,Sample Student 051,u0001051@umail.usq.edu.au,YES
19,Sample Student 052,u0001052@umail.usq.edu.au,YES,Sample Student 053,u0001053@umail.usq.edu.au,YES,Sample Student 054,u0001054@umail.usq.edu.au,YES
20,Sample Student 055,u0001055@umail.usq.edu.au,YES,Sample Student 056,u0001056@umail.usq.edu.au,YES,Sample Student 057,u0001057@umail.usq.edu.au,YES
